logged_in,count,srv_count,dst_host_count,dst_host_same_src_port_rate,target
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
1.0,0.00980392156862745,0.00980392156862745,0.3937007874015748,0.01,0
0.0,0.5078431372549019,0.00196078431372549,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.5705882352941176,0.03725490196078431,1.0,0.0,1
1.0,0.027450980392156862,0.027450980392156862,1.0,0.0,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9058823529411765,0.9058823529411765,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.2823529411764706,0.03333333333333333,1.0,0.0,1
0.0,0.4627450980392157,0.011764705882352941,1.0,0.0,1
0.0,0.0,0.0,0.003937007874015748,0.5,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.3941176470588235,0.0196078431372549,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.19215686274509805,0.00392156862745098,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.4,0.01568627450980392,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9941176470588236,0.9941176470588236,1.0,1.0,1
0.0,0.0,0.0,0.0,1.0,0
0.0,0.23529411764705882,0.027450980392156862,1.0,0.0,1
0.0,0.8647058823529412,0.8647058823529412,1.0,1.0,1
0.0,0.4627450980392157,0.0,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.45098039215686275,0.027450980392156862,1.0,0.0,1
1.0,0.0196078431372549,0.0196078431372549,0.7362204724409449,0.01,0
1.0,0.00784313725490196,0.00784313725490196,0.2952755905511811,0.01,1
0.0,0.9352941176470588,0.9352941176470588,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.8980392156862745,0.8980392156862745,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9980392156862745,0.9980392156862745,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.8803921568627451,0.8803921568627451,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9980392156862745,0.9980392156862745,1.0,1.0,1
0.0,0.48823529411764705,0.041176470588235294,1.0,0.0,1
0.0,0.00196078431372549,0.00196078431372549,1.0,0.01,0
0.0,0.22156862745098038,0.013725490196078431,1.0,0.0,1
0.0,0.5392156862745098,0.03529411764705882,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.5784313725490197,0.00980392156862745,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
1.0,0.029411764705882353,0.03725490196078431,0.1377952755905512,0.03,0
1.0,0.025490196078431372,0.025490196078431372,0.33858267716535434,0.02,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.4235294117647059,0.011764705882352941,1.0,0.0,1
1.0,0.00784313725490196,0.00784313725490196,0.04330708661417323,0.08,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,1.0,0.01,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.23529411764705882,0.03725490196078431,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.4666666666666667,0.03529411764705882,1.0,0.0,1
1.0,0.013725490196078431,0.01764705882352941,1.0,0.0,0
0.0,0.22745098039215686,0.027450980392156862,1.0,0.0,1
0.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.403921568627451,0.025490196078431372,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
1.0,0.023529411764705882,0.023529411764705882,1.0,0.0,0
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9980392156862745,0.9980392156862745,1.0,1.0,1
0.0,0.29215686274509806,0.047058823529411764,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,0.9980392156862745,0.9980392156862745,1.0,1.0,1
0.0,0.3568627450980392,0.023529411764705882,1.0,0.0,1
0.0,0.21568627450980393,0.0,1.0,0.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
0.0,1.0,1.0,1.0,1.0,1
