logged_in,count,srv_count,dst_host_count,dst_host_same_src_port_rate,target
1.0,0.00980392156862745,0.00980392156862745,0.2795275590551181,0.01,0
1.0,0.021568627450980392,0.021568627450980392,1.0,0.0,0
1.0,0.06666666666666667,0.06666666666666667,1.0,0.0,0
1.0,0.0,0.0,0.36220472440944884,0.01,0
1.0,0.00784313725490196,0.00784313725490196,1.0,0.0,0
1.0,0.011764705882352941,0.0196078431372549,0.11811023622047244,0.03,0
1.0,0.00980392156862745,0.03529411764705882,0.12992125984251968,0.03,0
0.0,0.0,0.0,0.3661417322834646,1.0,0
1.0,0.0,0.0,0.2125984251968504,0.02,0
1.0,0.00980392156862745,0.00980392156862745,1.0,0.0,0
0.0,0.0058823529411764705,0.00196078431372549,1.0,0.91,0
1.0,0.03725490196078431,0.03725490196078431,1.0,0.0,0
1.0,0.03333333333333333,0.03333333333333333,0.7125984251968503,0.01,0
1.0,0.0058823529411764705,0.01568627450980392,0.031496062992125984,0.11,0
0.0,0.011764705882352941,0.029411764705882353,1.0,0.0,0
1.0,0.07058823529411765,0.07450980392156863,1.0,0.0,0
1.0,0.00196078431372549,0.00196078431372549,0.09055118110236221,0.04,0
0.0,1.0,1.0,1.0,1.0,1
1.0,0.00784313725490196,0.00784313725490196,0.015748031496062992,0.2,0
0.0,0.0,0.0,0.452755905511811,0.01,0
0.0,0.9980392156862745,0.9980392156862745,1.0,1.0,1
1.0,0.00784313725490196,0.00784313725490196,0.015748031496062992,0.2,0
1.0,0.060784313725490195,0.06274509803921569,1.0,0.0,0
0.0,0.9941176470588236,0.9941176470588236,1.0,1.0,1
1.0,0.00196078431372549,0.00196078431372549,0.11023622047244094,0.03,0
0.0,1.0,1.0,1.0,1.0,1
1.0,0.045098039215686274,0.045098039215686274,1.0,0.0,0
1.0,0.0392156862745098,0.0392156862745098,1.0,0.0,0
1.0,0.0,0.0,0.4763779527559055,0.01,0
1.0,0.047058823529411764,0.054901960784313725,1.0,0.0,0
0.0,0.0,0.0,1.0,0.05,0
1.0,0.0196078431372549,0.0196078431372549,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0
1.0,0.03137254901960784,0.03137254901960784,0.2125984251968504,0.02,0
1.0,0.0,0.0,0.17716535433070865,0.02,0
1.0,0.0,0.0,1.0,0.0,0
